CircleName,Abbrev,LatLong,X4,X5,X6,X7,X8,X9
Hamilton,ONHA,43.2678790000/-79.8852320000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
CountYear3,LowTemp,HighTemp,AMCloud,PMClouds,AMRain,PMRain,AMSnow,PMSnow
118,-18.0 Celsius,-13.0 Celsius,Clear,Clear,None,None,None,None
117,-2.0 Celsius,11.0 Celsius,Cloudy,Cloudy,Light,"Heavy
Light",None,None
116,-2.0 Celsius,5.0 Celsius,Partly Cloudy,Partly Cloudy,None,Light,None,None
115,0.6 Celsius,8.3 Celsius,Cloudy,Cloudy,None,None,None,None
114,-4.0 Celsius,-1.0 Celsius,Cloudy,Cloudy,NA,NA,Light,None
113,-2.0 Celsius,-2.0 Celsius,Cloudy,Cloudy,None,None,Light,Light
112,1.0 Celsius,6.0 Celsius,Cloudy,Cloudy,None,None,None,None
111,19.0 Celsius,23.0 Celsius,Cloudy,Cloudy,None,None,None,None
110,34.0 Celsius,39.0 Celsius,Cloudy,Cloudy,"Heavy
Light",None,None,None
109,30.0 Celsius,34.0 Celsius,Cloudy,Cloudy,None,None,None,None
108,25.0 Celsius,28.0 Celsius,Foggy,Foggy,None,None,None,None
107,36.0 Fahrenheit,39.0 Fahrenheit,Cloudy,Cloudy,"Heavy
None",None,None,None
106,32.0 Celsius,34.0 Celsius,Cloudy,Cloudy,None,None,None,None
105,10.0 Celsius,19.0 Celsius,Clear,Clear,None,None,None,Heavy
104,28.0 Celsius,37.0 Celsius,Clear,Clear,None,None,None,None
103,25.0 Celsius,36.0 Celsius,Cloudy,Cloudy,None,None,None,None
102,16.0 Fahrenheit,27.0 Fahrenheit,Cloudy,Cloudy,None,None,Light,Light
101,7.0 Fahrenheit,21.0 Fahrenheit,Cloudy,Cloudy,None,None,None,None
100,22.0 Fahrenheit,32.0 Fahrenheit,Cloudy,Cloudy,None,None,Light,Light
99,19.0 Fahrenheit,30.0 Fahrenheit,Partly Cloudy,Partly Cloudy,None,None,None,None
98,21,36,Cloudy,Cloudy,None,Light,Light,None
97,14,25,Cloudy,Cloudy,None,None,Light,Light
96,14,23,Clear,Clear,Unknown,Unknown,Unknown,Unknown
95,30,45,Clear,Clear,Unknown,Unknown,Unknown,Unknown
94,-6,7,Partly Cloudy,Partly Cloudy,None,None,Light,None
